Date,Open,High,Low,Close,% Change,Volume
8/2001,30.62,32.23,26.88,27.96,-0.0621,951559900
7/2001,29.58,31.00,27.00,29.81,0.0191,965577600
6/2001,27.26,32.00,26.15,29.25,0.08289999999999999,1008249200
5/2001,30.77,32.50,26.40,27.01,-0.12619999999999998,966714700
4/2001,26.06,32.57,22.25,30.91,0.1748,1232602500
3/2001,28.25,33.69,24.56,26.31,-0.0788,1421494900
2/2001,37.06,38.23,28.00,28.56,-0.2281,909408600
1/2001,30.69,38.59,30.00,37.00,0.2309,1211434900
12/2000,38.50,38.50,29.81,30.06,-0.2102,1120692200
11/2000,44.31,47.88,36.00,38.06,-0.1542,998090900
10/2000,42.94,47.00,35.00,45.00,0.0828,1423595100
9/2000,75.63,75.69,41.38,41.56,-0.445,1467990100
8/2000,67.06,75.81,60.56,74.88,0.12179999999999999,688110000
7/2000,67.05,73.75,64.40,66.75,-0.0015,813903750
6/2000,63.10,70.15,62.05,66.85,0.0645,851667400
5/2000,63.95,65.50,52.55,62.80,-0.0095,1145907800
4/2000,65.70,69.55,54.20,63.40,-0.0387,1209578800
3/2000,56.45,72.70,56.00,65.95,0.1673,1131350200
2/2000,49.19,58.25,48.32,56.50,0.1421,965312200
1/2000,41.64,53.30,38.69,49.47,0.20199999999999999,1406932200
12/1999,38.03,42.75,35.28,41.16,0.0733,841517800
11/1999,38.82,41.94,36.82,38.35,-0.0097,854509600
10/1999,37.13,39.91,32.50,38.72,0.0421,1205532800
9/1999,41.85,44.75,36.32,37.16,-0.0959,1051548200
8/1999,34.94,42.25,34.75,41.10,0.1912,1095635000
7/1999,29.88,35.88,29.63,34.50,0.1597,1011415000
6/1999,26.91,29.94,25.07,29.75,0.10060000000000001,919890600
5/1999,30.60,32.50,25.50,27.03,-0.1165,781813800
4/1999,29.98,33.38,27.50,30.60,0.029300000000000003,1050681500
3/1999,29.70,31.10,27.40,29.73,-0.0083,1706606800
2/1999,35.18,35.18,29.73,29.98,-0.149,1444981200
1/1999,29.98,35.93,29.93,35.23,0.188,1393780000
12/1998,26.45,31.55,26.43,29.65,0.10220000000000001,1208676800
11/1998,22.44,28.98,22.39,26.90,0.2064,1293696800
10/1998,21.06,22.70,18.95,22.30,0.0401,1574883200
9/1998,17.74,22.25,17.44,21.44,0.2045,1476413200
8/1998,20.91,23.16,17.74,17.80,-0.15689999999999998,1761071600
7/1998,18.67,22.06,18.06,21.11,0.139,1585564800
6/1998,17.28,19.41,16.42,18.53,0.0377,1440325200
5/1998,20.24,21.36,17.81,17.86,-0.11599999999999999,1087710800
4/1998,19.38,21.27,17.83,20.20,0.0353,1546118800
3/1998,22.45,22.85,18.50,19.52,-0.1297,1701521600
2/1998,20.63,23.91,20.55,22.42,0.1073,1333076000
1/1998,17.67,20.72,17.63,20.25,0.153,1358238800
12/1997,19.63,20.44,16.85,17.56,-0.0951,1414142800
11/1997,19.63,20.44,18.01,19.41,0.008199999999999999,1272398000
10/1997,23.19,23.91,17.22,19.25,-0.16649999999999998,1986799200
9/1997,23.41,24.81,23.00,23.10,0.0027,1034391600
8/1997,23.19,25.50,22.47,23.03,0.0034999999999999996,1411278800
7/1997,17.66,23.03,17.33,22.95,0.294,1846793400
